extracted_idx,gov_idx,gov_source,extraction_confidence,extraction_method,applied_offset_dx,applied_offset_dy,iou,centroid_dist_m,area_ratio,hausdorff_m,attribute_score,municipal_present,municipal_iou,municipal_attr_score,utility_present,utility_iou,revenue_present,revenue_attr_score,cross_source_support_count
13,0,cadastral,0.771,segformer,0.0,0.0,0.0,9.270510676658779,0.5842272233051733,10.013890635510897,0.0,1,0.34935676464182225,0.9090909090909091,1,0.0,1,1.0,3
11,0,cadastral,0.769,segformer,0.0,0.0,0.0,8.445925505696055,0.570722473419727,9.167636972654135,0.0,1,0.34935676464182225,0.9090909090909091,1,0.0,1,1.0,3
9,0,cadastral,0.827,specialized,0.0,0.0,0.8378219836070103,0.3169859477141558,0.9911312089840524,0.4610899531706556,0.0,1,0.34935676464182225,0.9090909090909091,1,0.0,1,1.0,3
8,0,cadastral,0.769,segformer,0.0,0.0,0.0,7.562695750903951,0.2554159217464826,9.17558379957862,0.0,1,0.34935676464182225,0.9090909090909091,1,0.0,1,1.0,3
19,1,cadastral,0.819,specialized,0.0,0.0,0.0,7.18300041602544,0.9479339987090618,7.616216026601547,0.0,1,0.20823587143842814,0.9090909090909091,1,0.7103833129370979,1,1.0,3
17,1,cadastral,0.84,segformer,0.0,0.0,0.8790294577190723,0.11871715284977187,0.9369243123129039,0.19124007292941136,0.0,1,0.20823587143842814,0.9090909090909091,1,0.7103833129370979,1,1.0,3
15,1,cadastral,0.794,segformer,0.0,0.0,0.0,7.097014419522223,0.8088077335649179,7.618784574573563,0.0,1,0.20823587143842814,0.9090909090909091,1,0.7103833129370979,1,1.0,3
13,1,cadastral,0.771,segformer,0.0,0.0,0.0,8.525867412221597,0.9128553616014091,8.994226834300937,0.0,1,0.20823587143842814,0.9090909090909091,1,0.7103833129370979,1,1.0,3
21,2,cadastral,0.889,segformer,0.0,0.0,0.9477276158688184,0.06766651330328294,0.9985900880523841,0.1412686793884915,0.0,1,0.2279100916589279,1.0,1,0.0,1,1.0,3
18,2,cadastral,0.798,segformer,0.0,0.0,0.0,7.343874857393715,0.9580906353458988,7.856436503375473,0.0,1,0.2279100916589279,1.0,1,0.0,1,1.0,3
14,3,cadastral,0.797,segformer,0.0,0.0,0.0,7.397187265447483,0.7179440964552299,7.5690762497123085,0.0,1,0.1498757377432237,0.8,1,0.545545496479086,1,1.0,3
12,3,cadastral,0.731,specialized,0.0,0.0,0.7960920850547162,0.18681785193024014,0.9561856351892526,0.45972454620918823,0.0,1,0.1498757377432237,0.8,1,0.545545496479086,1,1.0,3
6,4,cadastral,0.795,segformer,0.0,0.0,0.0,6.3450082841350675,0.976434596081227,6.859998454276325,0.0,1,0.09020333415616787,1.0,1,0.7327654765371817,1,1.0,3
4,4,cadastral,0.821,segformer,0.0,0.0,0.7902152034585437,0.2012463968582653,0.9985187388035814,0.31411400447654036,0.0,1,0.09020333415616787,1.0,1,0.7327654765371817,1,1.0,3
1,4,cadastral,0.802,segformer,0.0,0.0,0.0,7.601479078606934,0.9703031386490066,7.750713897662376,0.0,1,0.09020333415616787,1.0,1,0.7327654765371817,1,1.0,3
16,5,cadastral,0.838,segformer,0.0,0.0,0.9270816997592479,0.11621427877025153,0.9924895391142459,0.20951371474808417,0.0,1,0.21394666533032322,0.8,1,0.7304842908759998,1,1.0,3
15,5,cadastral,0.794,segformer,0.0,0.0,0.0,6.979816930279353,0.8598009665745843,7.696777458189204,0.0,1,0.21394666533032322,0.8,1,0.7304842908759998,1,1.0,3
11,5,cadastral,0.769,segformer,0.0,0.0,0.0,8.888288351775241,0.7441910414162924,9.185870370293136,0.0,1,0.21394666533032322,0.8,1,0.7304842908759998,1,1.0,3
7,6,cadastral,0.864,segformer,0.0,0.0,0.0,9.663578128186128,0.5382042217386549,10.489049842646345,0.0,1,0.11258662301125266,0.9565217391304348,1,0.5637950426003885,1,1.0,3
5,6,cadastral,0.732,segformer,0.0,0.0,0.8166860896622566,0.17784434610567235,0.9481192766605538,0.4412983374433672,0.0,1,0.11258662301125266,0.9565217391304348,1,0.5637950426003885,1,1.0,3
3,6,cadastral,0.792,segformer,0.0,0.0,0.0,6.658599331602085,0.9409615754232411,6.59909501467764,0.0,1,0.11258662301125266,0.9565217391304348,1,0.5637950426003885,1,1.0,3
19,7,cadastral,0.819,specialized,0.0,0.0,0.0,9.282505836389609,0.7320983721272273,9.904457297288047,0.0,1,0.20588810165522853,0.9473684210526316,1,0.7126627466238222,1,1.0,3
17,7,cadastral,0.84,segformer,0.0,0.0,0.0,7.099599879536063,0.7235954874335301,7.528911391089045,0.0,1,0.20588810165522853,0.9473684210526316,1,0.7126627466238222,1,1.0,3
16,7,cadastral,0.838,segformer,0.0,0.0,0.0,7.07055645754473,0.8936713207651249,7.614820182886402,0.0,1,0.20588810165522853,0.9473684210526316,1,0.7126627466238222,1,1.0,3
15,7,cadastral,0.794,segformer,0.0,0.0,0.8824994835853112,0.13689312082818886,0.9548739511020611,0.31113381293055486,0.0,1,0.20588810165522853,0.9473684210526316,1,0.7126627466238222,1,1.0,3
13,7,cadastral,0.771,segformer,0.0,0.0,0.0,6.717712908244781,0.8460370270227529,7.10269882879286,0.0,1,0.20588810165522853,0.9473684210526316,1,0.7126627466238222,1,1.0,3
3,8,cadastral,0.792,segformer,0.0,0.0,0.0,8.275879439476405,0.4756695234409133,9.174077087880056,0.0,1,0.2070551172317973,0.96,1,0.0,1,1.0,3
2,8,cadastral,0.808,segformer,0.0,0.0,0.0,8.64398049423699,0.7853930879716812,8.886907268088441,0.0,1,0.2070551172317973,0.96,1,0.0,1,1.0,3
0,8,cadastral,0.86,specialized,0.0,0.0,0.813485175972421,0.3648643648184699,0.9861506797131511,0.5482692543157709,0.0,1,0.2070551172317973,0.96,1,0.0,1,1.0,3
18,9,cadastral,0.798,segformer,0.0,0.0,0.0,10.241777137075454,0.7360891059119905,10.884515074479703,0.0,1,0.1141619393156444,0.96,1,0.0,1,1.0,3
14,9,cadastral,0.797,segformer,0.0,0.0,0.8328044204954246,0.24369539113733701,0.9455151309946948,0.36717350722693637,0.0,1,0.1141619393156444,0.96,1,0.0,1,1.0,3
12,9,cadastral,0.731,specialized,0.0,0.0,0.0,7.509574762799641,0.7941086569940503,7.621308785017253,0.0,1,0.1141619393156444,0.96,1,0.0,1,1.0,3
16,10,cadastral,0.838,segformer,0.0,0.0,0.0,8.982223233982644,0.7166252917687135,9.27806726697242,0.0,1,0.17323653773344413,0.8,1,0.6810758553489665,1,1.0,3
11,10,cadastral,0.769,segformer,0.0,0.0,0.7664356086282066,0.3479718209551394,0.9702457653987931,0.3953593304316915,0.0,1,0.17323653773344413,0.8,1,0.6810758553489665,1,1.0,3
9,10,cadastral,0.827,specialized,0.0,0.0,0.0,7.816864605461678,0.558696021307836,8.523565959215562,0.0,1,0.17323653773344413,0.8,1,0.6810758553489665,1,1.0,3
8,10,cadastral,0.769,segformer,0.0,0.0,0.0,8.522770481997979,0.4612551583913228,9.010336614608901,0.0,1,0.17323653773344413,0.8,1,0.6810758553489665,1,1.0,3
10,10,cadastral,0.877,segformer,0.0,0.0,0.0,7.502568206218871,0.5965078329966015,7.966989588203766,0.0,1,0.17323653773344413,0.8,1,0.6810758553489665,1,1.0,3
7,11,cadastral,0.864,segformer,0.0,0.0,0.9134594768969002,0.11431713802658895,0.9991855967722556,0.27104476875920325,0.0,1,0.0,0.2727272727272727,0,0.0,1,1.0,2
5,11,cadastral,0.732,segformer,0.0,0.0,0.0,9.82373147616558,0.5098662222676394,10.827609187106399,0.0,1,0.0,0.2727272727272727,0,0.0,1,1.0,2
3,11,cadastral,0.792,segformer,0.0,0.0,0.0,7.066825362585299,0.5715067655567126,7.347109926496182,0.0,1,0.0,0.2727272727272727,0,0.0,1,1.0,2
2,12,cadastral,0.808,segformer,0.0,0.0,0.7247923017437945,0.4356476177350309,0.9811951138287703,0.6232801602574785,0.0,1,0.2176537741156787,0.9090909090909091,1,0.6236042690049867,1,1.0,3
0,12,cadastral,0.86,specialized,0.0,0.0,0.0,8.652811409009937,0.7893597477498709,8.92258861342009,0.0,1,0.2176537741156787,0.9090909090909091,1,0.6236042690049867,1,1.0,3
9,13,cadastral,0.827,specialized,0.0,0.0,0.0,7.648794267264773,0.26324824087410537,9.007125203539793,0.0,1,0.5899328435777973,1.0,1,0.0,1,1.0,3
